Store Names,Store Type,Location,Rating,Coordinates,Coordinate X,Coordinate Y
Ace ,GOODS,3F,2.4,"(0, 3)",0,3
Adidas ,FASHION,GF,3.1,"(1, 0)",1,0
AEON BSD CITY Dept Store 1F,FASHION,1F,2.7,"(2, 1)",2,1
AEON BSD CITY Dept Store 2F,FASHION,2F,3.4,"(3, 2)",3,2
AEON BSD CITY Supermarket GF,FOOD,GF,2.9,"(4, 0)",4,0
AEON Credit Service ,SERVICE,GF,3.7,"(5, 0)",5,0
Amazone ,ENTERTAINMENT,3F,4.6,"(6, 3)",6,3
ATM CENTER (3F),SERVICE,3F,3.9,"(7, 3)",7,3
ATM CENTER (GF),SERVICE,GF,4.8,"(8, 0)",8,0
Auntie Anne's ,FOOD,GF,3.9,"(9, 0)",9,0
Bakmi Ayam Alok ,FOOD,3F,4.7,"(10, 3)",10,3
Bakmi GM ,FOOD,2F,4.2,"(11, 2)",11,2
Bakso Malang Igaku,FOOD,3F,4.9,"(12, 3)",12,3
Baku Dapa Kuliner Manado ,FOOD,3F,3.7,"(13, 3)",13,3
Ban ban,FOOD,GF,2.8,"(14, 0)",14,0
Bank Mandiri,SERVICE,GF,3.7,"(15, 0)",15,0
Baskin Robbins ,FOOD,3F,3.9,"(16, 3)",16,3
Bateeq ,FASHION,2F,2.9,"(17, 2)",17,2
Bath & Body Works,GOODS,GF,4.1,"(18, 0)",18,0
BCA ,SERVICE,GF,4.1,"(19, 0)",19,0
Beard Papa ,FOOD,GF,3.7,"(20, 0)",20,0
Beauty Haul,GOODS,1F,4.5,"(21, 1)",21,1
Beauty Scent,GOODS,GF,2.1,"(22, 0)",22,0
Best Denki ,GOODS,3F,4.2,"(23, 3)",23,3
Birkenstock ,FASHION,1F,4.7,"(24, 1)",24,1
BNI  ,SERVICE,GF,4.1,"(25, 0)",25,0
Boost Juice,FOOD,GF,2.9,"(26, 0)",26,0
BRANZ (Property),SERVICE,GF,4.9,"(27, 0)",27,0
Burger King,FOOD,3F,4.0,"(28, 3)",28,3
Burger King,FOOD,4F,4.7,"(29, -1)",29,-1
C&F perfumery ,GOODS,GF,2.2,"(30, 0)",30,0
Casio ,GOODS,GF,3.8,"(31, 0)",31,0
Charles & Keith ,FASHION,1F,2.9,"(32, 1)",32,1
Châteraisé,FOOD,GF,3.1,"(33, 0)",33,0
Chatime ,FOOD,GF,2.1,"(34, 0)",34,0
Chuwi Yogurt,FOOD,1F,2.6,"(35, 1)",35,1
CIMB Niaga Digital Lounge ,SERVICE,GF,3.0,"(36, 0)",36,0
Cindy ,GOODS,2F,2.0,"(37, 2)",37,2
Cinema XXI ,ENTERTAINMENT,3F,4.5,"(38, 3)",38,3
Cold Stone ,FOOD,GF,2.3,"(39, 0)",39,0
Coolkids,FASHION,2F,4.6,"(40, 2)",40,2
COWAY,GOODS,1F,3.2,"(41, 1)",41,1
D'Crepes ,FOOD,3F,3.8,"(42, 3)",42,3
Daiso Japan ,GOODS,2F,4.3,"(43, 2)",43,2
Daniel Wellington ,GOODS,1F,3.3,"(44, 1)",44,1
Dapur Solo ,FOOD,GF,2.7,"(45, 0)",45,0
De Wasz Laundry ,SERVICE,GF,4.4,"(46, 0)",46,0
De'Sound ,GOODS,3F,4.1,"(47, 3)",47,3
Digimap,GOODS,GF,3.6,"(48, 0)",48,0
Doner Kebab ,FOOD,GF,4.0,"(49, 0)",49,0
Donini ,FASHION,1F,2.7,"(50, 1)",50,1
Dparis,GOODS,1F,4.4,"(51, 1)",51,1
Dwidaya Tour ,SERVICE,3F,4.2,"(52, 3)",52,3
Eatlah ,FOOD,GF,3.8,"(53, 0)",53,0
Eka Karya Orchid ,GOODS,GF,4.0,"(54, 0)",54,0
Eprise ,FASHION,2F,4.0,"(55, 2)",55,2
Erafone,GOODS,3F,2.3,"(56, 3)",56,3
Erha Store,GOODS,GF,4.0,"(57, 0)",57,0
Essentials,FASHION,2F,3.9,"(58, 2)",58,2
Et Cetera ,FASHION,1F,4.6,"(59, 1)",59,1
Everbest,FASHION,1F,3.2,"(60, 1)",60,1
Eyes Spice,GOODS,1F,3.3,"(61, 1)",61,1
Famous Amos & DG Chocolate Gallery  ,FOOD,GF,5.0,"(62, 0)",62,0
Frank & Co,GOODS,GF,2.0,"(63, 0)",63,0
Ginza Nail ,SERVICE,1F,3.4,"(64, 1)",64,1
Giordano,FASHION,1F,2.8,"(65, 1)",65,1
Gokkana Teppan,FOOD,GF,2.9,"(66, 0)",66,0
Golden Lamian ,FOOD,GF,3.7,"(67, 0)",67,0
Gramedia ,GOODS,2F,4.4,"(68, 2)",68,2
Greenology,FOOD,GF,2.3,"(69, 0)",69,0
GS Shop ,GOODS,2F,2.1,"(70, 2)",70,2
Guardian ,GOODS,GF,4.3,"(71, 0)",71,0
Guess,FASHION,GF,3.4,"(72, 0)",72,0
Guldens Mice,FOOD,3F,2.7,"(73, 3)",73,3
Gyukaku,FOOD,GF,3.7,"(74, 0)",74,0
H&M,FASHION,1F,3.9,"(75, 1)",75,1
Haagen-Dazs ,FOOD,GF,3.5,"(76, 0)",76,0
Haircode ,SERVICE,2F,5.0,"(77, 2)",77,2
Havaianas,GOODS,1F,4.4,"(78, 1)",78,1
Headquarters ,SERVICE,2F,2.4,"(79, 2)",79,2
Hey! Kafe,FOOD,3F,3.2,"(80, 3)",80,3
HG Cakes and Bakery ,FOOD,3F,4.9,"(81, 3)",81,3
Hop Hop ,FOOD,3F,3.4,"(82, 3)",82,3
Huawei,GOODS,3F,3.6,"(83, 3)",83,3
Hush Puppies ,FASHION,1F,3.6,"(84, 1)",84,1
Ice Gentong ,FOOD,3F,4.8,"(85, 3)",85,3
Ichiro ,FOOD,3F,3.0,"(86, 3)",86,3
Iga Bakar Lombok,FOOD,3F,2.3,"(87, 3)",87,3
Imperial Kitchen ,FOOD,3F,4.3,"(88, 3)",88,3
Innisfree,GOODS,GF,4.7,"(89, 0)",89,0
Ixobox ,SERVICE,2F,2.4,"(90, 2)",90,2
K-Somsa Cotton Candy,FOOD,3F,3.0,"(91, 3)",91,3
Kangkung Bakar,FOOD,3F,4.8,"(92, 3)",92,3
KFC ,FOOD,3F,3.3,"(93, 3)",93,3
KFC ,FOOD,4F,2.4,"(94, -1)",94,-1
Kiddycuts ,SERVICE,2F,4.9,"(95, 2)",95,2
Kids & Beyond,GOODS,2F,3.4,"(96, 2)",96,2
Kids Icon & Curly ,FASHION,2F,2.7,"(97, 2)",97,2
Kidz Station ,GOODS,2F,2.4,"(98, 2)",98,2
Koi Cafe ,FOOD,1F,4.3,"(99, 1)",99,1
Kokuo Reflexology ,SERVICE,4F,3.1,"(100, -1)",100,-1
Kopi Janji Jiwa,FOOD,GF,4.4,"(101, 0)",101,0
Kopi Kenangan,FOOD,1F,3.4,"(102, 1)",102,1
Krispy Kreme ,FOOD,GF,4.2,"(103, 0)",103,0
Kwetiaw 28 AHO ,FOOD,3F,4.9,"(104, 3)",104,3
L'Occitane ,GOODS,GF,3.3,"(105, 0)",105,0
Lash Inc ,SERVICE,2F,4.9,"(106, 2)",106,2
Laxmi Tailor ,FASHION,1F,2.5,"(107, 1)",107,1
Le Coq ,FASHION,GF,4.4,"(108, 0)",108,0
Le Viet & Hochito,FOOD,2F,2.3,"(109, 2)",109,2
Levi's ,FASHION,1F,2.7,"(110, 1)",110,1
Liang Crispy Roll,FOOD,GF,4.4,"(111, 0)",111,0
Little X Eight ,FASHION,2F,4.8,"(112, 2)",112,2
"Lock & Lock with Hello, Bebe ",GOODS,2F,3.2,"(113, 2)",113,2
Lokal Coffee,FOOD,GF,4.1,"(114, 0)",114,0
Loly Poly,GOODS,3F,4.7,"(115, 3)",115,3
"Love, Bonito",FASHION,1F,2.2,"(116, 1)",116,1
Lukumades,FOOD,GF,2.9,"(117, 0)",117,0
Maison Tatsuya ,FOOD,GF,2.4,"(118, 0)",118,0
MAKE OVER ,GOODS,1F,4.6,"(119, 1)",119,1
Marie Claire,GOODS,1F,2.0,"(120, 1)",120,1
Max Fashions,FASHION,2F,2.7,"(121, 2)",121,2
McDonald's,FOOD,3F,3.6,"(122, 3)",122,3
Melissa ,FASHION,1F,2.7,"(123, 1)",123,1
Men Men Ramen,FOOD,3F,4.6,"(124, 3)",124,3
Menya Sakura,FOOD,3F,3.4,"(125, 3)",125,3
Mi Home ,GOODS,3F,2.3,"(126, 3)",126,3
Midas Xchange ,SERVICE,GF,2.2,"(127, 0)",127,0
Minimal,FASHION,2F,5.0,"(128, 2)",128,2
Miniso,GOODS,2F,2.6,"(129, 2)",129,2
Mo-Guri,FOOD,3F,2.6,"(130, 3)",130,3
Mothercare & Early Learning Center,FASHION,2F,2.6,"(131, 2)",131,2
Nanny's Pavillon,FOOD,GF,4.9,"(132, 0)",132,0
Nathalie Kids,FASHION,2F,2.2,"(133, 2)",133,2
New Era ,FASHION,1F,4.2,"(134, 1)",134,1
Nike ,FASHION,GF,3.0,"(135, 0)",135,0
Noodle King ,FOOD,3F,4.5,"(136, 3)",136,3
Noodle King ,FOOD,4F,4.4,"(137, -1)",137,-1
Nuansa Musik,SERVICE,4F,3.7,"(138, -1)",138,-1
One Zo,FOOD,GF,3.7,"(139, 0)",139,0
Ootoya ,FOOD,GF,4.2,"(140, 0)",140,0
Optik Melawai ,GOODS,1F,3.6,"(141, 1)",141,1
Optik Seis ,GOODS,1F,3.7,"(142, 1)",142,1
OshKosh & B'gosh,FASHION,2F,2.9,"(143, 2)",143,2
Ow My Plate,FOOD,3F,3.8,"(144, 3)",144,3
OWL Eyewear,GOODS,2F,4.5,"(145, 2)",145,2
Payless,FASHION,2F,2.9,"(146, 2)",146,2
Pedro,FASHION,1F,4.3,"(147, 1)",147,1
Pepperlunch,FOOD,GF,4.6,"(148, 0)",148,0
Pizza Marzano ,FOOD,GF,4.2,"(149, 0)",149,0
